	libAIAI_gt_DEBUGSetAIBuild									"-AISetBuild"
	libGame_gt_DEBUGManualAssignAward							"-assigneom"
	libGame_gt_OnFireEnableMessaging							"-showonfire"
	libGame_gt_OnFireDisableMessaging							"-showonfire"
	libGame_gt_TownMidLateGamePowerTransitionOn					"-morecore"
	libCore_gt_DataDeathTimesTestCheat							"DeathTimes"
	libCore_gt_DataEnableGranularBountyXPMathDisplay			"-showxpmath"
	libMapM_gt_EnableDisableMapEvent							"EnableEvent"
	libMapM_gt_EnableDisableMapEvent							"DisableEvent"
	libMapM_gt_MMRavenDebugStartWarning							"WARNINGSTART"
	libMapM_gt_MMRavenDebugStartElunees							"-es"
	libMapM_gt_MMRavenDebugStartElunees							"EVENTSTART"
	libMapM_gt_MMRavenDebugStartNexten							"-en"
	libMapM_gt_MMRavenDebugStartNexten							"TRIBUTENEXT"
	libMapM_gt_MMRavenDebugStartCurseec							"-ec"
	libMapM_gt_MMRavenDebugStartCurseec							"TRIBUTELAST"
	libMapM_gt_MMGardensDragonObjectiveUIHandler				"-eu"
	libMapM_gt_MMGardensDragonDisableEvent						"DisableEvent"
	libMapM_gt_MMGardensDragonDebugCheatStartObelisksso			"-so"
	libMapM_gt_MMGardensDragonDebugCheatStartObelisksso			"EVENTSTART"
	libMapM_gt_MMGardensDragonDebugCheatStartObelisksso			"eventstart"
	libMapM_gt_DEBUGAddVehicle									"-addvehicle"
	libMapM_gt_DEBUGRemoveVehicle								"-removevehicle"
	libMapM_gt_DEBUGLinkVehicle									"-linkvehicle"
	libStEx_gt_SE_TrainingModeTipDebugEnable					"-SETE"
	libStEx_gt_SE_TrainingModeTipDebugModeOnOff					"TRAININGMODE"
	libStEx_gt_SE_TrainingModeTipDebugModeOnOff					"-TM"
	libStEx_gt_DebugEncounter									"inencounter"
	libStEx_gt_DPSCheat											"-dpsobj"
	libSprt_gt_StatTrackingStartforPlayer						"StatTrackStart"
	libSprt_gt_StatTrackingStartforPlayer						"StatTrackerStart"
	libSprt_gt_StatTrackingLogBreak								"StatTrackBreak"
	libSprt_gt_StatTrackingLogBreak								"StatTrackerBreak"
	libSprt_gt_StatTrackingStop									"StatTrackStop"
	libSprt_gt_StatTrackingStop									"StatTrackerStop"
	libSprt_gt_StatTrackingStopTrackingforAllPlayers			"StatTrackStopAll"
	libSprt_gt_StatTrackingStopTrackingforAllPlayers			"StatTrackerStopAll"
	libSprt_gt_StatTrackingStopTrackingforAllPlayers			"stattrackstopall"
	libSprt_gt_StatTrackingStopTrackingforAllPlayers			"stattrackerstopall"
	libSprt_gt_DEBUGIntroVOInteractorItemintrovotest			"introvotest"
	libSprt_gt_DEBUGInspectTheBalanceProbebalanceprobe			"balanceprobe"
	libSprt_gt_DEBUGResetTheBalanceProbebalancereset			"balancereset"
	libSprt_gt_DEBUGTimedBalanceProbebalancetimer				"balancetimer"
	libSprt_gt_EnableSoundRepeat								"-soundrepeat"
	libSprt_gt_SoundRepeatAdjustDelay							"-soundrepeatdelay"
	libSprt_gt_DEBUGPassiveExpBalancer							"passivebalance"
	libSprt_gt_DEBUGEqualizeExperience							"eqexp"
	libSprt_gt_DEBUGBoostExperience								"eqexpboost"
	libSprt_gt_DEBUGHelphelp									"-help"
	libSprt_gt_DEBUGPlayerNumberplayernum						"-playernumber"
	libSprt_gt_DEBUGPlayerNumberplayernum						"playernumber"
	libSprt_gt_DEBUGPlayerNumberplayernum						"-playernum"
	libSprt_gt_DEBUGPlayerNumberplayernum						"playernum"
	libSprt_gt_DEBUGToggleSelectiontogselection					"togselection"
	libSprt_gt_DEBUGToggleSelectiontogselection					"ts"
	libSprt_gt_DebugToggleShowXPValuestogshowxpvalues			"togshowxpvalues"
	libSprt_gt_DEBUGStartGamestartgame							"startgame"
	libSprt_gt_DEBUGDisablePingLimitfreepings					"freepings"
	libSprt_gt_DEBUGPauseGameStartTimerpausestart				"pausestart"
	libSprt_gt_DEBUGTurnOnNormalCreepCampscreepcamp				"creepcamp"
	libSprt_gt_DEBUGRespawnCreepCampsrespawncamps				"respawncamps"
	libSprt_gt_DEBUGDestroyInventoryItemsdeleteitems			"deleteitems"
	libSprt_gt_DEBUGSpawnHerospawnhero							"spawnhero"
	libSprt_gt_DEBUGSpawnHerospawnhero							"sh"
	libSprt_gt_DEBUGRespawnHerodebugrespawn						"debugrespawn"
	libSprt_gt_DEBUGSelectHerodebugselect						"debugselect"
	libSprt_gt_DEBUGKillHerodebugkill							"debugkill"
	libSprt_gt_DEBUGAIHeroMimicheromimic						heromimic"
	libSprt_gt_DEBUGAISetHerosethero							"sethero"
	libSprt_gt_DEBUGAISetAllHerosetallheroes					"setallheroes"
	libSprt_gt_DEBUGLogRandomHeroesForPlayer					"lograndomheroes"
	libSprt_gt_DEBUGLevelAIHerosheroxp							"heroxp"
	libSprt_gt_DEBUGToggleFloatingCombatTexttogcombattext		"togcombattext"
	libSprt_gt_DEBUGToggleMinionSpawningtogminionspawn			"togminionspawn"
	libSprt_gt_DEBUGToggleMinionSystemPausedtogminionpause		"togminionpause"
	libSprt_gt_DEBUGToggleMinionSystemOnOfftogminionsystem		"togminionsystem"
	libSprt_gt_DEBUGToggleMinionBonusXPOnOff					"togbonusminionxp"
	libSprt_gt_DEBUGToggleTowerSystemOnOfftogtowersystem		"togtowersystem"
	libSprt_gt_DEBUGToggleXPTrickletogtrickle					"togtrickle"
	libSprt_gt_DEBUGScalecatchupXPBonuscatchupxpbonus			"catchupxpbonus"
	libSprt_gt_DEBUGScalecatchupXPPenaltycatchupxppenalty		"catchupxppenalty"
	libSprt_gt_DEBUGToggleSoloXPtogsoloxp						"togsoloxp"
	libSprt_gt_DEBUGScaleCampscampscale							"campscale"
	libSprt_gt_DEBUGHaveAITakeOverAI							"-AI"
	libSprt_gt_DEBUGHaveAITakeOverAIAll							"-AI All"
	libSprt_gt_DEBUGHaveAITakeOverAIAll							"-AIAll"
	libSprt_gt_DEBUGHaveAITakeOverAIAllOff						"-AI AllOff"
	libSprt_gt_DEBUGHaveAITakeOverAIAllOff						"-AIAllOff"
	libSprt_gt_DEBUGHaveAITakeOverAIAllOn						"-AI AllOn"
	libSprt_gt_DEBUGHaveAITakeOverAIAllOn						"-AIAllOn"
	libSprt_gt_DEBUGAIShowTalentBuildaishowtalentbuild			"aishowtalentbuild"
	libSprt_gt_DEBUGAICycleThroughAllHeroesailoadeveryhero		"-AILoadEveryHero"
	libSprt_gt_DEBUGDisplayHeroAIDebugInfoaidebug				"aidebug"
	libSprt_gt_DEBUGDisplayDefenderAIDebugInfodefenderdebug		"defenderdebug"
	libSprt_gt_DEBUGVictorydebugvictory							"debug-victory"
	libSprt_gt_DEBUGStructures1ShotMinionskillerstructures		"killer-structures"
	libSprt_gt_DEBUGIncreasedMinionDamagekillerminions			"killer-minions"
